
2024/12/06 (15:00:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:55:01) | ===> btop++ v.1.4.0
2024/12/06 (15:55:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/06 (15:55:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (20:55:55) | ===> btop++ v.1.4.0
2024/12/06 (20:55:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/06 (20:55:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:51:56) | ===> btop++ v.1.4.0
2024/12/07 (09:51:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/07 (09:51:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (16:55:23) | ===> btop++ v.1.4.0
2024/12/07 (16:55:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/07 (16:55:23) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/07 (21:46:09) | ERROR: Stall in Runner thread, restarting!

2024/12/08 (08:27:32) | ===> btop++ v.1.4.0
2024/12/08 (08:27:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (08:27:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (13:02:47) | ===> btop++ v.1.4.0
2024/12/08 (13:02:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (13:02:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (17:19:16) | ===> btop++ v.1.4.0
2024/12/08 (17:19:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (17:19:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (17:59:43) | ===> btop++ v.1.4.0
2024/12/08 (17:59:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (17:59:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (19:56:54) | ===> btop++ v.1.4.0
2024/12/08 (19:56:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (19:56:54) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/08 (21:59:56) | ERROR: Stall in Runner thread, restarting!

